name,description,category,url
180 Degrees Consulting at Virginia Tech,"Empowering students to create social impact by delivering high-quality, equity-focused consulting for nonprofits and community organizations, while building real-world experience that prepares members for careers at top firms and beyond.",Professional & Career Development,https://www.180dc.org/
3304 Sports,"3304 Sports is the multimedia home for online sports journalism at Virginia Tech. We give students who are interested in broadcasting, writing or podcasting about sports the opportunity to get real-world experience covering VT Athletics.",Academic,http://3304sports.com
3D Printed Aircraft at Virginia Tech,"Our organization's goal is to design and manufacture a small unmanned aircraft capable of competing in UTA's design competition. These aircraft will be completely manufactured using 3D printers, save the electronics.",Academic,https://gobblerconnect.vt.edu/3daircraft/
Accounting Society at Virginia Tech,The Accounting Society at Virginia Tech is a professional student organization that aims to connect students to prospective employers.,Professional & Career Development,https://accountingsocietyvt.weebly.com/
Actuarial Science Club at Virginia Tech,The goal of this club is to bring together students with an interest in Actuarial Science to provide peer support and an exchange of ideas.,Academic,https://gobblerconnect.vt.edu/actuarialscience/
Adventist Christian Fellowship,"We offer weekly Bible studies, provide transportation to church, and support people in growing their faith in God.",Recreation,https://acflink.org/acf-chapter-directory/virginia-tech/
African Graduate Students' Organization at Virginia Tech,"We support incoming African students to ease integration and foster community with current students, acting as a bridge between alumni who have returned to Africa and the larger VT community who are interested in service or career opportunities in Africa",Advocacy & Awareness,https://agsovt.wordpress.com
African Students Association,"We, the African Students Association at Virginia Tech, aim to educate and bring awareness to African issues, while building community and providing a safe haven for the diaspora. We take pride in sharing the diverse culture of Africa with our community!",Cultural & International,https://gobblerconnect.vt.edu/asavt/
Agricultural Communicators of Tomorrow,"The Agricultural Communicators of Tomorrow (ACT) empowers collegiate students to excel in agricultural communications by providing professional development, hands-on experience, and networking opportunities.",Academic,https://nactnow.org/
"Agricultural, Leadership, and Community Education Graduate Student Council","The organization has been created to connect the professional development, outreach efforts, and social engagement of Agricultural, Leadership, and Community Education graduate students by offering a network of emotional, financial, and social support.",Academic,https://gobblerconnect.vt.edu/alcegsc/
Agroforestry Club at Virginia Tech,The Agroforestry Club at Virginia Tech is a community sharing and practicing agroforestry to protect the environment and build rural economies.,Academic,https://gobblerconnect.vt.edu/agroforestryclub/
AI in Medicine at Virginia Tech,"Exploring the applications of AI within a medical context through research discussions, projects, and guest speakers.",Academic,https://linktr.ee/aimvt
AILERON At Virginia Tech,AILERON offers students a dynamic environment to explore and apply principles of aircraft mechanics through hands-on projects and collaborative designs.,Academic,http://www.aileronvt.org
Airsoft Club at Virginia Tech,Students participating in the sport of Airsoft with a focus on working together as a team and military simulation. We use discord as our primary source of communication: https://discord.gg/dX6U8T6zYX,Enthusiasts & Special Interests,https://gobblerconnect.vt.edu/acvt/
ALPFA Student Chapter at Virginia Tech,"ALPFA-VT is Virginia Tech's student chapter of the Association of Latino Professionals for America, and we're driven by a shared commitment to uplift, empower, and open doors for underrepresented students. Through leadership development, mentorship, and a strong sense of belonging, we work to…",Academic,https://gobblerconnect.vt.edu/alpfaatvt/
Alpha Chi Sigma - National Co-Ed Professional Chemistry Fraternity,"The Alpha Chi Sigma Professional Chemistry Fraternity at Virginia Tech is a national, co-ed fraternity dedicated to the advancement of Chemistry, both as a science and as a profession.",Academic,https://alphachisigma.org
Alpha Epsilon Delta,Alpha Epsilon Delta is the National Co-Ed Health Preprofessional Honor Society. We foster the importance of scholarship and service and provide a community for pre-health students to connect and support one another. We are the future of healthcare!,Academic,http://www.alphaepsilondelta.org.vt.edu/
Alpha Gamma Rho,National Social/Professional Agricultural Fraternity,Other,https://gobblerconnect.vt.edu/club_signup
"alpha Kappa Delta Phi International Sorority, Inc.","alpha Kappa Delta Phi (aKDPhi) is the largest and only international Asian-interest sorority. aKDPhi promotes sisterhood, leadership, scholarship, leadership and service, in addition to its philanthropy, Breast Cancer Awareness.",Advocacy & Awareness,https://vtakdphipr.wixsite.com/official
Alpha Kappa Psi,"The Beta Xi chapter of the worlds largest, co-ed business fraternity. Recognized as the premiere developer of principled business leaders.",Other,http://www.vtakpsi.com
Alpha Omega Epsilon,We are the Rho Chapter of Alpha Omega Epsilon at Virginia Tech - a professional &amp; social sorority promoting women in engineering &amp; technical sciences.,Academic,https://aoeexec-g.wixsite.com/my-site
Alpha Phi Omega,National Gender Inclusive Service Fraternity,Service & Charity,http://zbofapo.com
Alpha Pi Mu,Industrial and Systems Engineering Honor Society,Academic,http://www.apm.org.vt.edu/
Alpha Psi,"Purpose: To promote a stronger bond between the veterinary colleges of the United States and Canada; to create a better feeling among the students of all veterinary colleges, and to infuse a deeper interest in the study of veterinary science.",Other,https://gobblerconnect.vt.edu/vetmedalphapsi/
Alpha Psi Omega at Virginia Tech (Alpha Psi ),To seek a life useful. Alpha Psi Omega is a nationally recognized honors society celebrating and recognizing students in theatre and cinema. The School of Performing Arts at Virginia Tech hosts our chapter of Alpha Psi Omega for Theatre & Cinema students. Membership is reserved for students…,Academic,https://gobblerconnect.vt.edu/alphapsiomega/
Alpha Rho Chi,"The national professional fraternity for architecture and the allied arts! Our goal is to create a community that connects anyone interested in architecture and related design majors. We offer professional, social, philanthropic, and fundraising based events! As this is a fraternity, most of our…",Professional & Career Development,https://alpharhochi.org/
Alpha Sigma Kappa,"Alpha Sigma Kappa is a sorority focused on uniting women pursuing technical majors. Our goal is to encourage sisterhood and academic achievement in women from different technical majors, and offer opportunities in leadership and a sense of belonging.",Academic,https://sites.google.com/vt.edu/alphasigmakappa/home?authuser=0
Alpha Tau Omega,Alpha Tau Omega is America's Leadership Development Fraternity. We help college men develop their ability to be effective leaders for a lifetime. GIVE TODAY ABOUT ATO,Other,https://www.vtato.com/
Alpha Zeta,"The Virginia Chapter of Alpha Zeta is a professional, service, and honorary fraternity for men and women in the College of Agriculture and Life Sciences and the College of Natural Resources at Virginia Tech.",Academic,https://gobblerconnect.vt.edu/alphazeta/
Alternative Fashion at Virginia Tech,"A community dedicated to helping those interested in alternative culture/fashion styles (ie. Goth, Emo, Punk, etc.) develop and cultivate their unique interest. We host DIY clothing, makeup, and social events to help foster the local alternative scene",Arts & Entertainment,https://discord.gg/75WYJ3VQvu
Alternative Investments Association,"The AIA aims to provide students passionate in finance from all majors with opportunities to refine their understanding of private markets through education, research, projects, and networking opportunities.",Academic,https://vtaia.com/
Alzheimer's Foundation Of America On Campus At Virginia Tech,"Welcome to the Alzheimer's Foundation of America at Virginia Tech! Our mission is to educate, fundraise and volunteer, and provide support for peers and families affected by Alzheimer's Disease.",Academic,https://gobblerconnect.vt.edu/afaoncampusvt/
Amateur Radio Association,"To provide a station for the use of club members, and to provide emergency and public service communications. Questions? No questions, but you want to talk about radio? Join our Discord server! https://discord.gg/4AsxazStkM",Enthusiasts & Special Interests,http://www.vtara.org.vt.edu/
American Association for Aerosol Research (AAAR) Chapter at Virginia Tech,"The mission of the AAAR Chapter at Virginia Tech is to inspire and support student engagement in aerosol and atmospheric chemistry through outreach, mentorship, and access to hands‑on research experiences.",Professional & Career Development,https://gobblerconnect.vt.edu/AAARatVT/
American Chemical Society Student Affiliates,The Chemistry Club at Virginia Tech is a recognized and award winning Student Affiliate Chapter of the American Chemical Society.,Academic,https://sites.google.com/a/vt.edu/chemistry-club-at-virginia-tech/
American Collegiate Horsemen's Association,"Collegiate Horsemen's Association at Virginia Tech, better known as CHA, is an academic club dedicated to educating students about the equine industry and uniting collegiate horsemen from across the nation, fostering camaraderie and professionalism. CHA meetings feature engaging speakers from…",Academic,https://linktr.ee/vt_cha
